exam,q_no,scope,topic,question,options,source_key_raw,source_answer,study_answer,status,editor_note
56-59th BPSC (2015),134,core,"Plant Form, Function & Classification",Cloves are obtained from which of the following parts of the plant?,Dried leaves | Dried stems | Dried seeds | [Missing in source],D,[Missing in source],Dried flower buds,restored,The workbook option/answer row is truncated; clove is the dried flower bud.
56-59th BPSC (2015),135,core,"Microbes, Disease & Immunity",Oncogenes are associated with,Tuberculosis | Hepatitis | Cancer | Typhoid,C,Cancer,Cancer,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),137,core,"Genetics, DNA & Biotechnology",Who synthesized the DNA in vitro?,Arthur Kornberg | Robert Hooke | Edward Jenner | Joseph Lister,A,Arthur Kornberg,Arthur Kornberg,source-key,Answer follows the verified/source answer field in the supplied workbook.
56-59th BPSC (2015),142,core,"Microbes, Disease & Immunity",Which of the following can cause cancer as well as cure it depending upon its intensity and use?,Tobacco | Alcohol | lonised radiation | Ultraviolet rays,C,lonised radiation,lonised radiation,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),31,core,Nutrition & Biomolecules,Which of the following pairs is not correctly matched?,Vitamin B Oranges | Vitamin D - Cod-liver oil | Vitamin E - Wheat germ oil | Vitamin K - Alfalfa | None of the above/More than one of the above,(e),None of the above/More than one of the above,None of the above/More than one of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),33,core,"Genetics, DNA & Biotechnology",Which of the following is responsible for controlling hereditary characters of the living cells?,Enzyme | Hormone | RNA | DNA | None of the above/More than one of the above,(d),DNA,DNA,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),34,core,Nutrition & Biomolecules,Which of the following vitamins is known as ergocalciferol ?,Vitamin D | Vitamin D | Vitamin B | Vitamin B | None of the above/More than one of the above,(a),Vitamin D,Vitamin D,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),35,core,Nutrition & Biomolecules,Which of the following pairs is not correctly matched?,Retinol - Xerophthalmia | Tocopherol - Beriberi | Cyanocobalamin - Anaemia | Ergocalciferol- Rickets | None of the above/More than one of the above,(e),None of the above/More than one of the above,Tocopherol–Beriberi is the mismatched pair,corrected,Tocopherol is vitamin E; beriberi is due to thiamine (vitamin B1) deficiency.
60-62nd BPSC (Combined),37,core,"Microbes, Disease & Immunity",Which one of the following is an antibiotic drug?,Quinine | Sulphaguanidine | Chloramphenicol | Aspirin | None of the above/More than one of the above,(a),Quinine,Chloramphenicol,corrected,The workbook key points to Quinine; chloramphenicol is the antibiotic among the listed choices.
60-62nd BPSC (Combined),39,core,Endocrine & Reproduction,Insulin is,Fat | Vitamin | Carbohydrate | Protein | None of the above/More than one of the above,(e),None of the above/More than one of the above,Protein (peptide hormone),corrected,The workbook letter maps to 'None'; insulin is a peptide/protein hormone.
60-62nd BPSC (Combined),43,core,Endocrine & Reproduction,Which of the following hormones play a role in release of milk from mammary glands?,Adrenaline | Thyroxine | Progesterone | Oxytocin | None of the above/More than one of the above,(d),Oxytocin,Oxytocin,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),45,core,Nutrition & Biomolecules,"In human body, Vitamin A is stored in",Liver | Skin | Lung | Kidney | None of the above/More than one of the above,(a),Liver,Liver,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),46,core,Nutrition & Biomolecules,Which of the following vitamins is used as an antidote to anticoagulant poisons?,Vitamin A | Vitamin D | Vitamin E | Vitamin K | None of the above/More than one of the above,(d),Vitamin K,Vitamin K,source-key,Answer follows the verified/source answer field in the supplied workbook.
60-62nd BPSC (Combined),48,extended,"Ecology, Environment & Conservation",Which of the following is present in maximum in acid rain?,HCl | HNO3 | H2SO4 | H2CO3 | None of the above/More than one of the above,(e),None of the above/More than one of the above,Sulfuric acid is generally the dominant acid; nitric acid also contributes,ambiguous,"The workbook chooses the combined/none option. The singular word 'maximum' makes H2SO4 the standard response, although both H2SO4 and HNO3 occur."
60-62nd BPSC (Combined),50,core,"Microbes, Disease & Immunity",Which of the following radio isotopes is used in the treatment of blood cancer [leukemia]?,Iodine -131 | Sodium-24 | Phosphorus-32 | Cobalt-60 | None of the above/More than one of the above,(d),Cobalt-60,Cobalt-60 (exam key),key-sensitive,"The supplied key selects Co-60; P-32 has also had haematological uses, so follow the official/key context."
63rd BPSC,87,core,Excretion & Osmoregulation,The element excreted through human sweat is,sulfur | iron | magnesium | zinc | None of the above/More than one of the above,(E),None of the above/More than one of the above,None of the above/More than one of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
63rd BPSC,91,core,Endocrine & Reproduction,"In human system, insulin controls the metabolism of",fats | carbohydrates | proteins | nucleic acids | None of the above/More than one of the above,(B),carbohydrates,carbohydrates,source-key,Answer follows the verified/source answer field in the supplied workbook.
63rd BPSC,92,core,"Microbes, Disease & Immunity",The antibiotic among the following is,penicillin | aspirin | paracetamol | sulfadiazine | None of the above/More than one of the above,(E),None of the above/More than one of the above,More than one: penicillin and sulfadiazine are antibacterial drugs,ambiguous,The broad term 'antibiotic' makes more than one option defensible; the supplied key selects option E.
63rd BPSC,93,core,Nutrition & Biomolecules,Which of the following is mostly carbohydrate?,Wheat | Barley | Rice | Maize | None of the above/More than one of the above,(C),Rice,Rice,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,5,core,"Genetics, DNA & Biotechnology",Who discovered DNA?,James Watson and Francis Crick | Gregor Mendel | Johannsen | Hargovind Khorana | None of the above/More than one of the above,None of the above/More than one of the above,None of the above/More than one of the above,None of the above/More than one of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,6,core,Nutrition & Biomolecules,What is triglyceride?,Protein | Carbohydrate | Fat | Mineral | None of the above/More than one of the above,Fat,Fat,Fat,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,7,core,Nervous System & Senses,Electroencephalogram (EEG) is used in monitoring,heart | liver | pancreas | brain | None of the above/More than one of the above,brain,brain,brain,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,8,core,Nervous System & Senses,Body temperature is regulated by,thalamus | hypothalamus | cerebellum | medulla | None of the above/More than one of the above,hypothalamus,hypothalamus,hypothalamus,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,13,core,Nutrition & Biomolecules,Human body contains,about 70% water | 20%-30% water | 10%-20% water | 30%-40% water | None of the above/More than one of the above,about 70% water,about 70% water,about 70% water,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,15,extended,"Ecology, Environment & Conservation",The main component of greenhouse gases is,carbon dioxide | methane | nitrous oxide | ozone | None of the above/More than one of the above,None of the above/More than one of the above,None of the above/More than one of the above,None of the above/More than one of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,17,core,Cell Biology,The powerhouse of cell is,cell wall | mitochondrion | ribosome | nucleus | None of the above/More than one of the above,mitochondrion,mitochondrion,mitochondrion,source-key,Answer follows the verified/source answer field in the supplied workbook.
64th BPSC,18,core,"Microbes, Disease & Immunity",AIDS is caused by,water | bacteria | virus | fungus | None of the above/More than one of the above,virus,virus,virus,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,96,extended,"Ecology, Environment & Conservation",The main component of greenhouse gases is,carbon dioxide | methane | nitrous oxide | ozone | None of the above/More than one of the above,(E),None of the above/More than one of the above,None of the above/More than one of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,99,core,Nutrition & Biomolecules,What is the formula of glucose?,C6H22O11 | C6H10O5 | C6H12O6 | C6H6O6 | None of the above/More than one of the above,(C),C6H12O6,C6H12O6,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,101,core,"Genetics, DNA & Biotechnology","The book, The Origin of Species was written by",Linnaeus | Lamarck | Mendel | Darwin | None of the above/More than one of the above,(D),Darwin,Darwin,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,102,core,"Ecology, Environment & Conservation",The interaction between algae and fungi to form lichen is called,parasitism | mutualism | commensalism | conversion | None of the above/More than one of the above,(B),mutualism,mutualism,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,103,core,"Ecology, Environment & Conservation",The actual location or place where an organism lives is called,habitat | ecosystem | niche | biome | None of the above/More than one of the above,(A),habitat,habitat,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,104,core,"Plant Form, Function & Classification",Solar energy is converted into ATP in,mitochondria | chloroplast | ribosome | peroxisome | None of the above/More than one of the above,(B),chloroplast,chloroplast,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,105,core,"Plant Form, Function & Classification",The by-product of photosynthesis is,CO2 | O2 | energy | sugar | None of the above/More than one of the above,(B),O2,O2,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,106,core,"Skeleton, Joints & Muscle",The study of bones is done under the branch of science called,geology | serology | orology | osteology | None of the above/More than one of the above,(D),osteology,osteology,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,107,core,"Microbes, Disease & Immunity",Which of the following does not have any enzyme in its cells?,Lichen | Virus | Bacteria | Algae | None of the above/More than one of the above,(B),Virus,Virus,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,108,core,"Circulation, Blood & Immunity",In which organ of the human body are the lymphocytes formed?,Liver | Bone marrow | Spleen | Pancreas | None of the above/More than one of the above,(B),Bone marrow,Bone marrow,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,109,core,Endocrine & Reproduction,Which of the following hormones contains iodine?,Testosterone | Adrenaline | Thyroxine | Insulin | None of the above/More than one of the above,(C),Thyroxine,Thyroxine,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,110,core,"Microbes, Disease & Immunity",AIDS is caused by,helminth | bacteria | fungus | virus | None of the above/More than one of the above,(D),virus,virus,source-key,Answer follows the verified/source answer field in the supplied workbook.
65th BPSC,118,core,Nervous System & Senses,Body temperature is regulated by,medulla | thalamus | hypothalamus | cerebellum | None of the above/More than one of the above,(C),hypothalamus,hypothalamus,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,1,core,"Skeleton, Joints & Muscle",The radiations used in the treatment of muscle ache are,infrared | microwave | UV | X-ray | None of the above/More than one of the above,infrared,infrared,infrared,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,11,core,Nutrition & Biomolecules,Milk is a poor source of,calcium | protein | vitamin C | carbohydrate | None of the above/More than one of the above,vitamin C,vitamin C,vitamin C,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,13,core,Nutrition & Biomolecules,Glucose is converted to ethyl alcohol by the enzyme,maltase | invertase | zymase | diastase | None of the above/More than one of the above,zymase,zymase,zymase,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,21,core,Nutrition & Biomolecules,The vitamin which is effective in blood clotting is,vitamin A | vitamin B | vitamin D | vitamin K | None of the above/More than one of the above,vitamin K,vitamin K,vitamin K,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,22,core,Endocrine & Reproduction,The female sex hormone is,estrogen | androgen | insulin | oxytocin | None of the above/More than one of the above,estrogen,estrogen,estrogen,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,23,core,Nervous System & Senses,The Nobel Prize for developing treatment of Parkinson's disease was given to,Arvid Carlsson | John F. Enders | Robert B. Laughlin | Walter Kohn | None of the above/More than one of the above,Arvid Carlsson,Arvid Carlsson,Arvid Carlsson,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,24,core,Endocrine & Reproduction,The malfunctioning of thyroid gland is due to the deficiency of,vitamin A | calcium | iodine | iron | None of the above/More than one of the above,iodine,iodine,iodine,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,25,core,Digestion,The sensitive area of the human tongue to bitterness is,tip | middle part | posterior part | edge | None of the above/More than one of the above,posterior part,posterior part,Posterior tongue in the old sensitivity map; all basic tastes are broadly distributed,key-sensitive,The classic tongue map is an oversimplification. Posterior sensitivity to bitterness does not mean bitterness is sensed only there.
66th BPSC,26,core,"Plant Form, Function & Classification",Ginger is a stem and not root because,it stores food material | it has nodes and internodes | it grows horizontally in the soil | it lacks chlorophyll | None of the above/More than one of the above,it has nodes and internodes,it has nodes and internodes,it has nodes and internodes,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,27,core,Nutrition & Biomolecules,The sweetest sugar among the following is,fructose | glucose | maltose | sucrose | None of the above/More than one of the above,fructose,fructose,fructose,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,28,core,"Plant Form, Function & Classification","Among the following, which is not a true fruit?",Apple | Grape | Date | Plum | None of the above/More than one of the above,Apple,Apple,Apple,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,29,core,Nutrition & Biomolecules,Legumes are highly nutritious because they are rich in,fat | protein | oil | starch | None of the above/More than one of the above,protein,protein,protein,source-key,Answer follows the verified/source answer field in the supplied workbook.
66th BPSC,30,core,"Plant Form, Function & Classification","Clove, a spice, is obtained from which part of the plant?",Fruit | Stem | Root | Flower bud | None of the above/More than one of the above,Flower bud,Flower bud,Flower bud,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,55,core,"Plant Form, Function & Classification",What are salt-loving plants called?,Glycophytes | Halophytes | Xerophytes | Mesophytes | None of the above/More than one of the above,Halophytes,Halophytes,Halophytes,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,56,core,"Plant Form, Function & Classification",Fungi are plants that lack,chlorophyll | sunlight | oxygen | carbon dioxide | None of the above/More than one of the above,chlorophyll,chlorophyll,Chlorophyll (historical option),key-sensitive,"Fungi lack chlorophyll, but modern classification does not regard fungi as plants; they form a separate kingdom."
67th BPSC,57,core,"Plant Form, Function & Classification",Pollination is best defined as,growth of pollen tube in ovule | visiting flowers by insects | transfer of pollen grain from anther to stigma | germination of pollen grains | None of the above/More than one of the above,transfer of pollen grain from anther to stigma,transfer of pollen grain from anther to stigma,transfer of pollen grain from anther to stigma,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,58,core,"Plant Form, Function & Classification",Plants receive their nutrients mainly from,light | soil | chlorophyll | atmosphere | None of the above/More than one of the above,soil,soil,soil,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,59,core,"Plant Form, Function & Classification","Pine, Fir, Spruce, Cedar, Larch and Cypress are the famous timber-yielding plants of which several also occur widely in the hilly regions of India. All these belong to",monocotyledons | dicotyledons | angiosperm | gymnosperm | None of the above/More than one of the above,gymnosperm,gymnosperm,gymnosperm,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,60,core,"Microbes, Disease & Immunity","From the following pairs, find the one which is correctly matched.",Tetanus—BCG | Malaria—Chloroquine | Scurvy—Thiamine | Tuberculosis—ATS | None of the above/More than one of the above,Malaria—Chloroquine,Malaria—Chloroquine,Malaria—Chloroquine,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,61,core,"Circulation, Blood & Immunity",The animal without red blood cells is,snake | peacock | frog | earthworm | None of the above/More than one of the above,earthworm,earthworm,earthworm,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,62,core,Digestion,"The ultimate substance to which the carbohydrates are degraded, is",glucose | maltose | amino acid | glycerol | None of the above/More than one of the above,glucose,glucose,glucose,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,63,core,Nutrition & Biomolecules,Most of the enzymes are,acids | alkalis | proteins | lipids | None of the above/More than one of the above,proteins,proteins,proteins,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,64,core,"Microbes, Disease & Immunity","Who was the first scientist/doctor, who attempted vaccination?",Elie Metchnikoff | Edward Jenner | Joseph Lister | Robert Koch | None of the above/More than one of the above,Edward Jenner,Edward Jenner,Edward Jenner,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,93,extended,"Ecology, Environment & Conservation","At which place in Bihar, North India's first bird ringing station has been recently opened?",East Champaran | West Champaran | Bhagalpur | Saran | None of the above/More than one of the above,Bhagalpur,Bhagalpur,Bhagalpur,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,94,extended,"Ecology, Environment & Conservation",Which of the following in Bihar started the Vulture's Conservation Plan?,Valmiki Tiger Reserve | Kanwar Lake Bird Sanctuary | Kaimur Tiger Reserve | Rajgir Wildlife Sanctuary | None of the above/More than one of the above,Valmiki Tiger Reserve,Valmiki Tiger Reserve,Valmiki Tiger Reserve,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,100,extended,"Ecology, Environment & Conservation",Recently China has claimed rights over territories around the 'Sakteng Wildlife Sanctuary' claiming it as a 'disputed region'. This Wildlife Sanctuary is located in,Nepal | Bangladesh | Arunachal Pradesh | Bhutan | None of the above/More than one of the above,Bhutan,Bhutan,Bhutan,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,106,extended,"Microbes, Disease & Immunity",What is the name of the campaign launched to ensure complete COVID-19 vaccination (in June 2022)?,Pradhan Mantri Vaccine Campaign | Garib Kalyan Vaccine Campaign 2.0 | Har Ghar Dastak Campaign 2.0 | Atmanirbhar Vaccine Campaign 2.0 | None of the above/More than one of the above,Har Ghar Dastak Campaign 2.0,Har Ghar Dastak Campaign 2.0,Har Ghar Dastak Campaign 2.0,source-key,Answer follows the verified/source answer field in the supplied workbook.
67th BPSC,148,extended,"Ecology, Environment & Conservation","Consider the following statements : 1. In India, the Project Tiger was launched in 1973. 2. The theme for National Biodiversity in 2022 is 'Building a shared future for all life'. 3. The Project Tiger is a tiger conservation programme. Which of the above statements is/are correct?","2 and 3 only | 1, 2 and 3 | 1 only | 1 and 3 only | None of the above/More than one of the above","1, 2 and 3","1, 2 and 3","1, 2 and 3",source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,66,extended,Animal Diversity & Applied Biology,Which animal has been approved as a food animal by the Food Safety and Standards Authority of India (FSSAI) in November 2022?,Himalayan yak | Mountain goat | Himalayan tahr | More than one of the above | None of the above,Himalayan yak,Himalayan yak,Himalayan yak,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,70,extended,Nutrition & Biomolecules,Which month of the year is celebrated as Rashtriya Poshan Maah or National Nutrition Month under the Poshan Abhiyaan of the Government of India?,May | September | July | More than one of the above | None of the above,September,September,September,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,97,extended,"Ecology, Environment & Conservation","Which one of the following is the world's richest region from a marine biodiversity perspective, comprising 21 islands with estuaries, beaches, forests of the nearshore environment, seagrasses, coral reefs, salt marshes and mangroves?",Gulf of Mannar Biosphere Reserve | Nanda Devi Biosphere Reserve | Sunderbans Biosphere Reserve | More than one of the above | None of the above,Gulf of Mannar Biosphere Reserve,Gulf of Mannar Biosphere Reserve,Gulf of Mannar Biosphere Reserve,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,123,extended,"Ecology, Environment & Conservation",Which gas contributes to global warming through its greenhouse effect?,Nitrous oxide | Methane | Carbon dioxide | More than one of the above | None of the above,More than one of the above,More than one of the above,More than one of the above,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,131,core,"Plant Form, Function & Classification",The stomata open or close due to change in the,protein composition of cells | amount of water in cells | position of nucleus in cells | More than one of the above | None of the above,amount of water in cells,amount of water in cells,amount of water in cells,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,132,core,"Plant Form, Function & Classification",Chlorophyll absorbs _________ wavelengths of the sunlight.,green and blue | green and red | red and blue | More than one of the above | None of the above,red and blue,red and blue,red and blue,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,133,core,"Plant Form, Function & Classification",Which of the following is not a correct match?,"Thick, hard stem with branching near base : Tree | Weak stem which cannot stand upright : Creeper | Petiole : Attaches leaf to stem | More than one of the above | None of the above","Thick, hard stem with branching near base : Tree (This describes a shrub)","Thick, hard stem with branching near base : Tree (This describes a shrub)","Thick, hard stem with branching near base : Tree (This describes a shrub)",source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,134,core,"Plant Form, Function & Classification",Water reaches great heights in trees because of suction pull caused by,absorption | transpiration | evaporation | More than one of the above | None of the above,transpiration,transpiration,transpiration,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,135,core,Cell Biology,Which among the following is a character of chloroplast which makes them qualified to self-replication?,Presence of DNA only | Absence of RNA | Presence of both DNA and RNA | More than one of the above | None of the above,Presence of both DNA and RNA,Presence of both DNA and RNA,Presence of both DNA and RNA,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,136,core,"Skeleton, Joints & Muscle",The parts of the skeleton that are not as hard as bones and which can be bent are called as,carpals | cartilage | vertebrae | More than one of the above | None of the above,cartilage,cartilage,cartilage,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,137,core,"Ecology, Environment & Conservation","In lichen, a chlorophyll-containing partner, _____ live together.",fungus and a bacterium | alga and a virus | alga and a fungus | More than one of the above | None of the above,alga and a fungus,alga and a fungus,alga and a fungus,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,138,core,Animal Diversity & Applied Biology,Female Anopheles can be distinguished from female Culex because it sits,at an angle with substratum | parallel to the surface of substratum | at right angle to the surface of substratum | More than one of the above | None of the above,at an angle with substratum,at an angle with substratum,at an angle with substratum,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,139,core,"Circulation, Blood & Immunity",The most important cell type associated with the immunity of the body is,platelets | lymphocytes | RBCs | More than one of the above | None of the above,lymphocytes,lymphocytes,lymphocytes,source-key,Answer follows the verified/source answer field in the supplied workbook.
68th BPSC,140,core,"Skeleton, Joints & Muscle",Which one of the following statements is incorrect about muscles in human body?,"Muscles work in pairs. | Muscles become shorter, stiffer and thicker when contracted. | Muscles can only push the bone. | More than one of the above | None of the above",Muscles can only push the bone.,Muscles can only push the bone.,Muscles can only push the bone.,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,3,core,Animal Diversity & Applied Biology,Match List–I with List–II : (Cloth) a. Linen b. Coir c. Mohair d. Down (Origin) 1. Coconut plant 2. Flax plant 3. Feathers of duck and geese 4. Angora goat,"a-1, b-3, c-2, d-4 | a-4, b-3, c-1, d-2 | a-2, b-1, c-4, d-3 | a-4, b-1, c-3, d-2","a-2, b-1, c-4, d-3","a-2, b-1, c-4, d-3","a-2, b-1, c-4, d-3",source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,4,core,"Microbes, Disease & Immunity","Consider the following statements : 1. Taeniasis is an intestinal infection caused by three species of tapeworm. 2. When cysts develop in the brain, the condition is referred to as neurocysticercosis (NCC). Which of the above statements is/are correct?",Only 1 | Only 2 | Both 1 and 2 | None of the above,Both 1 and 2,Both 1 and 2,Both 1 and 2,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,7,core,Nervous System & Senses,Which of the following are not the tastes of the tongue? 1. Sweet 2. Bitter 3. Salty 4. Spicy 5. Umami 6. Sour 7. Pungent,"2, 5 and 7 | 1, 3 and 4 | 4 and 7 | 3 and 6",4 and 7,4 and 7,4 and 7,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,8,core,"Microbes, Disease & Immunity",Which of the following pairs are correctly matched? 1. Anorexia : Sleep disorder 2. Insomnia : Eating disorder 3. Dyspnoea : Shortness of breath 4. Anosmia : Partial or full loss of smell,Only 1 and 2 | Only 2 and 3 | Only 3 and 4 | All of the above,Only 3 and 4,Only 3 and 4,Only 3 and 4,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,18,core,"Microbes, Disease & Immunity",How do COVID vaccines stimulate an immune response?,By introducing live attenuated SARS-CoV-2 virus | By introducing a real SARS-CoV-2 virus | By introducing a harmless piece of SARS-CoV-2 virus | By introducing antibodies against SARS-CoV-2 virus,By introducing a harmless piece of SARS-CoV-2 virus,By introducing a harmless piece of SARS-CoV-2 virus,A harmless antigenic piece/instruction from SARS-CoV-2,verified,Vaccines train immunity without introducing a disease-causing dose of the real virus.
69th BPSC,20,core,"Genetics, DNA & Biotechnology",The DNA double helix structure was discovered by,James Watson and Francis Crick | Rosalind Franklin and Maurice Wilkins | Linus Pauling | Gregor Mendel,James Watson and Francis Crick,James Watson and Francis Crick,James Watson and Francis Crick,source-key,Answer follows the verified/source answer field in the supplied workbook.
69th BPSC,22,core,"Microbes, Disease & Immunity",How do vector vaccines work to provide immunity?,By introducing a weakened or inactivated virus into the body | By directly attacking and destroying pathogens in the body | By placing the virus in a modified version of a different virus | By entering directly into the cells and enabling them to create spike proteins,By placing the virus in a modified version of a different virus,By placing the virus in a modified version of a different virus,A modified harmless carrier virus delivers genetic instructions,verified,This is the defining idea of a viral-vector vaccine.
