exam,q_no,scope,topic,recent,question,options,source_key_raw,source_answer,study_answer,status,editor_note
63rd BPSC,99,extended,"U14 Electrical Power, Devices & Domestic Electricity",no,The acid used in a car battery is,acetic acid | hydrochloric acid | nitric acid | sulfuric acid | None of the above/More than one of the above,(D),sulfuric acid,sulfuric acid,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,2,extended,U16 Modern & Nuclear Physics,no,Which of the following elements does not contain neutrons?,Oxygen | Nitrogen | Hydrogen | Copper | None of the above/More than one of the above,Hydrogen,Hydrogen,Hydrogen,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,3,core,"U1 Units, Dimensions & Measuring Instruments",no,Angstrom is a unit of,wavelength | energy | frequency | velocity | None of the above/More than one of the above,wavelength,wavelength,wavelength,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,4,core,"U1 Units, Dimensions & Measuring Instruments",no,Frequency is measured in,hertz | meter/second | radian | watt | None of the above/More than one of the above,hertz,hertz,hertz,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,9,core,"U4 Light III: Dispersion, Scattering, Wave Optics & Instruments",no,Choose the correct statement.,Wavelength of red light is less than violet light. | Wavelength of red light is more than violet light. | Wavelength of violet light is more than green light. | Wavelength of violet light is more than yellow light. | None of the above/More than one of the above,Wavelength of red light is more than violet light.,Wavelength of red light is more than violet light.,Wavelength of red light is more than violet light.,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,10,core,"U7 Heat, Temperature & Thermometry",no,The value of 40 degrees Celsius in Fahrenheit scale is,104 °F | 100 °F | 102 °F | 75 °F | None of the above/More than one of the above,104 °F,104 °F,104 °F,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,11,core,"U14 Electrical Power, Devices & Domestic Electricity",no,The unit of electric power is,ampere | volt | coulomb | watt | None of the above/More than one of the above,watt,watt,watt,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,12,core,"U14 Electrical Power, Devices & Domestic Electricity",no,In electrical motor,heat is converted into electrical energy | electrical energy is converted into heat | electrical energy is converted into mechanical energy | mechanical energy is converted into electrical energy | None of the above/More than one of the above,electrical energy is converted into mechanical energy,electrical energy is converted into mechanical energy,electrical energy is converted into mechanical energy,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,14,core,"U14 Electrical Power, Devices & Domestic Electricity",no,The device to measure electric current is,voltmeter | ammeter | voltameter | potentiometer | None of the above/More than one of the above,ammeter,ammeter,ammeter,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,16,core,U16 Modern & Nuclear Physics,no,Einstein got the Nobel Prize for,relativity | Bose-Einstein condensation | mass-energy equivalence | photoelectric effect | None of the above/More than one of the above,photoelectric effect,photoelectric effect,photoelectric effect,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,19,core,"U1 Units, Dimensions & Measuring Instruments",no,Which instrument is used to measure humidity?,Hydrometer | Hygrometer | Pyrometer | Lactometer | None of the above/More than one of the above,Hygrometer,Hygrometer,Hygrometer,source-key,Answer follows the verified answer field of the supplied workbook.
64th BPSC,20,core,"U1 Units, Dimensions & Measuring Instruments",no,What is the unit of pressure?,Newton/sq. meter | Newton-meter | Newton | Newton/meter | None of the above/More than one of the above,Newton/sq. meter,Newton/sq. meter,Newton/sq. meter,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,92,extended,U16 Modern & Nuclear Physics,no,The number of electrons and neutrons in an element is 18 and 20 respectively. Its mass number is,22 | 2 | 38 | 20 | None of the above/More than one of the above,(C),38,38,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,111,core,"U1 Units, Dimensions & Measuring Instruments",no,The unit of pressure is,kg/cm^2 | kg/cm | kg/mm | kg/cm^3 | None of the above/More than one of the above,(A),kg/cm^2,kg/cm^2,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,112,core,"U2 Light I: Nature of Light, Reflection & Mirrors",no,The sunlight from the sun to the earth reaches in,5 minutes | 6 minutes | 8 minutes | 10 minutes | None of the above/More than one of the above,(E),None of the above/More than one of the above,None of the above/More than one of the above,source-key,"Workbook key is (E). Light actually takes ≈ 8 min 20 s, which is why the bare '8 minutes' option was not accepted by the key; remember the value as 8 min 20 s (≈ 500 s)."
65th BPSC,113,core,U9 Kinematics,no,Which one of the following is a scalar quantity?,Force | Pressure | Velocity | Acceleration | None of the above/More than one of the above,(B),Pressure,Pressure,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,114,core,"U1 Units, Dimensions & Measuring Instruments",no,Which one of the following quantities does not have unit?,Stress | Force | Strain | Pressure | None of the above/More than one of the above,(C),Strain,Strain,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,115,core,U6 Sound,no,Sound wave in air is,transverse | longitudinal | electromagnetic | polarized | None of the above/More than one of the above,(B),longitudinal,longitudinal,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,116,core,"U7 Heat, Temperature & Thermometry",no,The value of 50 °C in Fahrenheit scale is,104 °F | 122 °F | 100 °F | 75 °F | None of the above/More than one of the above,(B),122 °F,122 °F,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,117,core,"U1 Units, Dimensions & Measuring Instruments",no,What is measured in hertz?,Frequency | Energy | Heat | Quality | None of the above/More than one of the above,(A),Frequency,Frequency,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,119,core,"U14 Electrical Power, Devices & Domestic Electricity",no,The device to measure electric current is,voltmeter | ammeter | voltameter | potentiometer | None of the above/More than one of the above,(B),ammeter,ammeter,source-key,Answer follows the verified answer field of the supplied workbook.
65th BPSC,120,core,"U14 Electrical Power, Devices & Domestic Electricity",no,The unit of electric power is,ampere | volt | coulomb | watt | None of the above/More than one of the above,(D),watt,watt,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,1,core,U5 Waves & the Electromagnetic Spectrum,yes,The radiations used in the treatment of muscle ache are,infrared | microwave | UV | X-ray | None of the above/More than one of the above,infrared,infrared,infrared,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,2,core,"U13 Electric Charge, Field & Current Electricity",yes,"The total resistance of a circuit having two parallel resistors is 1·403 kilo-ohm. If one of the resistors is 2·0 kilo-ohm, then the other resistor will be",1·403 kilo-ohm | 2·0 kilo-ohm | 3·403 kilo-ohm | 4·70 kilo-ohm | None of the above/More than one of the above,4·70 kilo-ohm,4·70 kilo-ohm,4·70 kilo-ohm,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,3,core,"U13 Electric Charge, Field & Current Electricity",yes,"On heating, the resistance of a semiconductor",increases | decreases | remains same | first increases and then decreases | None of the above/More than one of the above,decreases,decreases,decreases,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,4,core,"U14 Electrical Power, Devices & Domestic Electricity",yes,Faraday constant,depends on the amount of the electrolyte | depends on the current passed in the electrolyte | depends on the volume of the solvent in which the electrolyte is dissolved | is a universal constant | None of the above/More than one of the above,is a universal constant,is a universal constant,is a universal constant,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,5,core,"U1 Units, Dimensions & Measuring Instruments",yes,Light-year' is a unit of,time | speed | distance | intensity of light | None of the above/More than one of the above,distance,distance,distance,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,6,core,"U3 Light II: Refraction, Lenses & the Human Eye",yes,Which of the following does not change when light travels from one medium to another?,Velocity | Wavelength | Frequency | Refractive index | None of the above/More than one of the above,Frequency,Frequency,Frequency,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,7,core,U5 Waves & the Electromagnetic Spectrum,yes,The velocity of electromagnetic waves is,3 × 10⁸ ms⁻¹ | 3 × 10⁷ ms⁻¹ | 3 × 10⁶ ms⁻¹ | 3 × 10⁵ ms⁻¹ | None of the above/More than one of the above,3 × 10⁸ ms⁻¹,3 × 10⁸ ms⁻¹,3 × 10⁸ ms⁻¹,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,8,extended,Space & Astronomy (extended only),yes,The first man who placed his foot on the moon is,Leonov | Neil Armstrong | Michael Collins | James Van Allen | None of the above/More than one of the above,Neil Armstrong,Neil Armstrong,Neil Armstrong,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,9,core,U16 Modern & Nuclear Physics,yes,The number of neutrons in the nucleus of plutonium nuclide (₉₄Pu²⁴²) is,94 | 148 | 242 | 336 | None of the above/More than one of the above,148,148,148,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,10,core,U12 Mechanical Properties of Fluids,yes,The highest viscosity among the following is of,water | air | blood | honey | None of the above/More than one of the above,honey,honey,honey,source-key,Answer follows the verified answer field of the supplied workbook.
66th BPSC,20,core,"U7 Heat, Temperature & Thermometry",yes,The poorest conductor of heat among the following is,copper | lead | mercury | zinc | None of the above/More than one of the above,lead,lead,lead,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,65,core,U11 Circular Motion & Gravitation,yes,The working principle of a washing machine is,centrifugation | dialysis | reverse osmosis | diffusion | None of the above/More than one of the above,centrifugation,centrifugation,centrifugation,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,66,core,"U3 Light II: Refraction, Lenses & the Human Eye",yes,The speed of light will be minimum while passing through,air | glass | water | vacuum | None of the above/More than one of the above,glass,glass,glass,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,67,core,U9 Kinematics,yes,Which of the following is not a vector quantity?,Torque | Displacement | Speed | Velocity | None of the above/More than one of the above,Speed,Speed,Speed,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,68,core,U11 Circular Motion & Gravitation,yes,"If the spinning speed of the earth increases, then the weight of the body at the equator will",remain same | be doubled | increase | decrease | None of the above/More than one of the above,decrease,decrease,decrease,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,69,extended,U9 Kinematics,yes,Who is the first person to define speed?,Kepler | Ptolemy | Galileo | Newton | None of the above/More than one of the above,Galileo,Galileo,Galileo,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,71,extended,U16 Modern & Nuclear Physics,yes,The 'theory of relativity' is presented by which scientist?,Stephen Hawking | Marie Curie | Albert Einstein | Isaac Newton | None of the above/More than one of the above,Albert Einstein,Albert Einstein,Albert Einstein,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,72,core,"U8 Thermal Expansion, Radiation Laws & Thermodynamics",yes,"Due to temperature variation along conductor, potential variation occurs along it. This phenomenon is known as",Seebeck effect | Peltier effect | Thomson effect | Joule effect | None of the above/More than one of the above,Thomson effect,Thomson effect,Thomson effect,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,73,core,"U3 Light II: Refraction, Lenses & the Human Eye",yes,What type of lens is used in magnifying glass?,Convex lens | Convex mirror | Concave lens | Plano-concave lens | None of the above/More than one of the above,Convex lens,Convex lens,Convex lens,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,74,core,U15 Magnetism & Electromagnetism,yes,The paramagnetic theory of magnetism applies to,iron | platinum | nickel | mercury | None of the above/More than one of the above,platinum,platinum,platinum,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,75,extended,U16 Modern & Nuclear Physics,yes,The nucleus of an atom consists of,protons and neutrons | electrons only | electrons and neutrons | electrons and protons | None of the above/More than one of the above,protons and neutrons,protons and neutrons,protons and neutrons,source-key,Answer follows the verified answer field of the supplied workbook.
67th BPSC,141,extended,U11 Circular Motion & Gravitation,yes,Which is the chief heavenly body of solar system?,Saturn | Sun | Earth | Jupiter | None of the above/More than one of the above,Sun,Sun,Sun,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,75,extended,U16 Modern & Nuclear Physics,yes,Which of the following laboratories claimed a historic nuclear fusion breakthrough in December 2022?,Lawrence Livermore National Laboratory | Oak Ridge National Laboratory | Los Alamos National Laboratory | More than one of the above | None of the above,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,111,core,"U3 Light II: Refraction, Lenses & the Human Eye",yes,Large number of thin strips of black paint are made on the surface of a convex lens of focal length 20 cm to catch the image of a white horse. The image will be,a zebra of black stripes | a horse of black stripes | a horse of less brightness | More than one of the above | None of the above,a horse of less brightness,a horse of less brightness,a horse of less brightness,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,112,core,U6 Sound,yes,Shrillness of sound is determined by,amplitude of sound | wavelength of sound | velocity of sound | More than one of the above | None of the above,None of the above (Determined by frequency/pitch),None of the above (Determined by frequency/pitch),None of the above,source-key,"Key is (E): shrillness (pitch) is decided by frequency, which is not among options A–C."
68th BPSC,113,core,U16 Modern & Nuclear Physics,yes,Which of the following photoelectric devices is most suitable for digital applications?,Photovoltaic cell | Photoemitter | Photodiode | More than one of the above | None of the above,Photodiode,Photodiode,Photodiode,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,114,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,Ball bearings are used to convert static friction into,drag | sliding friction | rolling friction | More than one of the above | None of the above,rolling friction,rolling friction,rolling friction,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,115,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,A goalkeeper in a game of football pulls his hands backwards after holding the ball shot at the goal. This enables the goalkeeper to,exert large force on the ball | increase the force exerted by the ball on hands | decrease the rate of change of momentum | More than one of the above | None of the above,decrease the rate of change of momentum,decrease the rate of change of momentum,decrease the rate of change of momentum,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,116,core,U16 Modern & Nuclear Physics,yes,Which among the following is a positively charged particle emitted by a radioactive element?,Beta ray | Alpha ray | Cathode ray | More than one of the above | None of the above,Alpha ray,Alpha ray,Alpha ray,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,117,core,U11 Circular Motion & Gravitation,yes,Centripetal force is responsible to,keep the body moving along the circular path | fly the object along a straight line | independent motion of the object in space | More than one of the above | None of the above,keep the body moving along the circular path,keep the body moving along the circular path,keep the body moving along the circular path,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,118,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,Which of the following energy changes involves frictional force?,Potential energy to sound energy | Chemical energy to heat energy | Kinetic energy to heat energy | More than one of the above | None of the above,Kinetic energy to heat energy,Kinetic energy to heat energy,Kinetic energy to heat energy,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,119,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,A bus is moving along a straight path and takes a sharp turn to the right side suddenly. The passengers sitting in the bus will,fall in the forward direction | bent towards left side | bent towards right side | More than one of the above | None of the above,bent towards left side,bent towards left side,bent towards left side,source-key,Answer follows the verified answer field of the supplied workbook.
68th BPSC,120,core,U6 Sound,yes,"Before playing the orchestra in a musical concert, a sitarist tries to adjust the tension and pluck the string suitably. By doing so, he/she is adjusting",amplitude of sound | intensity of sound | frequency of the sitar string with the frequency of other musical instruments | More than one of the above | None of the above,frequency of the sitar string with the frequency of other musical instruments,frequency of the sitar string with the frequency of other musical instruments,frequency of the sitar string with the frequency of other musical instruments,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,2,extended,Space & Astronomy (extended only),yes,Match List–I with List–II : (Space Mission) a. Cassini-Huygens b. Juno c. Artemis d. VERITAS (Exploration) 1. Jupiter 2. Saturn and its rings 3. Venus 4. Human Spaceflight—Moon to Mars,"a-2, b-1, c-4, d-3 | a-3, b-1, c-4, d-2 | a-2, b-3, c-4, d-1 | a-3, b-1, c-2, d-4","a-2, b-1, c-4, d-3","a-2, b-1, c-4, d-3","a-2, b-1, c-4, d-3",source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,9,extended,Space & Astronomy (extended only),yes,"In the universe, what are pulsars?",A group of stars | Rotating neutron stars | Explosion of a star | Radio waves emitted by a star,Rotating neutron stars,Rotating neutron stars,Rotating neutron stars,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,14,extended,U16 Modern & Nuclear Physics,yes,What is the ‘Manhattan Project’?,A research and development undertaking that produced the first nuclear weapons | One of the largest art auctions of the world | A real estate project in New York City | A famous theme park,A research and development undertaking that produced the first nuclear weapons,A research and development undertaking that produced the first nuclear weapons,A research and development undertaking that produced the first nuclear weapons,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,15,core,"U2 Light I: Nature of Light, Reflection & Mirrors",yes,"The image formed by concave mirror is real, inverted and of the same size as that of the object. The position of the object should be",at the focus | at the centre of curvature | between the focus and centre of curvature | beyond the centre of curvature,at the centre of curvature,at the centre of curvature,at the centre of curvature,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,16,core,U16 Modern & Nuclear Physics,yes,A photoelectric cell is a device which,converts light energy into electric energy | converts electric energy into light energy | stores light energy | None of the above,converts light energy into electric energy,converts light energy into electric energy,converts light energy into electric energy,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,19,core,"U13 Electric Charge, Field & Current Electricity",yes,Which of the following liquids is a bad conductor of electricity?,Salted water | Orange juice | Lemon juice | None of the above,None of the above,None of the above,None of the above,source-key,"Key is (D): salted water, orange juice and lemon juice are all electrolytes, so none is a bad conductor."
69th BPSC,21,core,U11 Circular Motion & Gravitation,yes,Two objects of different masses falling freely near the surface of the Moon would,have different accelerations | undergo a change in their inertia | have same velocity at any instant | experience forces of same magnitude,have same velocity at any instant,have same velocity at any instant,have same velocity at any instant,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,26,core,U15 Magnetism & Electromagnetism,yes,An AC current can be produced by,choke coil | dynamo | transformer | None of the above,dynamo,dynamo,dynamo,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,27,core,"U13 Electric Charge, Field & Current Electricity",yes,Current density is,a scalar quantity | a vector quantity | dimensionless | None of the above,a vector quantity,a vector quantity,a vector quantity,source-key,Answer follows the verified answer field of the supplied workbook.
69th BPSC,40,core,"U2 Light I: Nature of Light, Reflection & Mirrors",yes,"Match List–I with List–II : a. Magenta b. Teal c. Mauve d. Cyan 1. Green and blue 2. Red and blue 3. Blue, green and white 4. Blue, red and white","a-2, b-3, c-4, d-1 | a-2, b-4, c-3, d-1 | a-4, b-2, c-1, d-3 | a-3, b-4, c-2, d-1","a-2, b-3, c-4, d-1","a-2, b-3, c-4, d-1","a-2, b-3, c-4, d-1",source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,6,core,"U1 Units, Dimensions & Measuring Instruments",yes,The meter that is used to measure the distance moved by the vehicle is known as,Ammeter | Speedometer | Chronometer | Odometer,Odometer,Odometer,Odometer,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,15,core,"U7 Heat, Temperature & Thermometry",yes,Heat transfer that does not require a medium is called,Radiation | Reflection | Conduction | Convection,Radiation,Radiation,Radiation,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,20,extended,"U7 Heat, Temperature & Thermometry",yes,Which of the following represent the suitable condition for the liquefaction of gases?,"Low temperature, high pressure | Low temperature, low pressure | High temperature, high pressure | High temperature, low pressure","Low temperature, high pressure","Low temperature, high pressure","Low temperature, high pressure",source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,45,core,U5 Waves & the Electromagnetic Spectrum,yes,Which of the following radiation is used to get relief from body aches?,Infra-red radiation | UV radiation | Visible radiation | None of these,Infra-red radiation,Infra-red radiation,Infra-red radiation,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,70,extended,U11 Circular Motion & Gravitation,yes,Which of the following has highly elongated elliptical orbit?,Asteroid | Comet | Meteorite | Meteor,Comet,Comet,Comet,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,85,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,Which of the following is a non-contact force?,Magnetic force | Frictional force | Impact force | None of these,Magnetic force,Magnetic force,Magnetic force,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,104,core,"U13 Electric Charge, Field & Current Electricity",yes,Which of the following is the resistance of the wire?,R = IV | R = 1 / 2V | R = V / I | R = I / V,R = V / I,R = V / I,R = V / I,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,113,core,"U8 Thermal Expansion, Radiation Laws & Thermodynamics",yes,Which of the following is the value of solar constant?,1.6 kW/m² | 1.4 kW/m² | 1.2 kW/m² | 1.8 kW/m²,1.4 kW/m²,1.4 kW/m²,1.4 kW/m²,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,123,core,U15 Magnetism & Electromagnetism,yes,Which of the following is equivalent to tesla?,Ampere per Newton | Newton per Coulomb | Newton per ampere-second | Newton per ampere meter,Newton per ampere meter,Newton per ampere meter,Newton per ampere meter,source-key,Answer follows the verified answer field of the supplied workbook.
70th BPSC,150,extended,U16 Modern & Nuclear Physics,yes,Who was the first one to propose a model for the structure of an atom?,E. Goldstein | Rutherford | Neils Bohr | J. J. Thomson,J. J. Thomson,J. J. Thomson,J. J. Thomson,source-key,Answer follows the verified answer field of the supplied workbook.
71st BPSC (2025),121,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,We apply a force of 200 Newtons on a wooden Box and push it on the floor at constant velocity. The marginal friction force will be:,100 Newtons | 200 Newtons | 300 Newtons | 400 Newtons,,,200 Newtons,added-answer,No key in workbook. Constant velocity ⇒ net force zero ⇒ friction balances the 200 N push.
71st BPSC (2025),122,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,A truck starts from rest down a hill with a constant acceleration. It achieves 400 meters in 20 seconds. If the weight of the truck is 7 tons then what will be the force acting on it?,11000 Newtons | 12000 Newtons | 13000 Newtons | 14000 Newtons,,,14000 Newtons,added-answer,No key in workbook. s = ½at² ⇒ a = 2×400/20² = 2 m/s²; F = ma = 7000 kg × 2 = 14 000 N.
71st BPSC (2025),123,core,"U14 Electrical Power, Devices & Domestic Electricity",yes,Energy consumed in a home is 250 units then the total energy in Joule will be:,9x10⁵ | 8x10⁶ | 9x10⁸ | 10⁵,,,9x10⁸,added-answer,No key in workbook. 1 unit = 1 kWh = 3.6 × 10⁶ J ⇒ 250 units = 9 × 10⁸ J.
71st BPSC (2025),124,core,U6 Sound,yes,"In which medium, the speed of sound is maximum?",Steel | Water | Air | Hydrogen,,,Steel,added-answer,"No key in workbook. v(solid) > v(liquid) > v(gas); steel ≈ 5,000–6,000 m/s."
71st BPSC (2025),125,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,The potential energy of a freely falling body continuously decreases.,The principle of conservation of energy is violated | The principle of conservation of energy is not violated | Gravitational force is violated | Gravitational force is not violated,,,The principle of conservation of energy is not violated,added-answer,No key in workbook. Lost PE appears as KE; total mechanical energy is conserved.
71st BPSC (2025),126,core,"U10 Laws of Motion, Friction, Work-Power-Energy",yes,A pair of Oxen exerts a force of 140 newton while ploughing the field. The field ploughed is 15 meter long. The work done in ploughing the length of the field is:,1900 Joule | 2000 Joule | 2100 Joule | 2200 Joule,,,2100 Joule,added-answer,No key in workbook. W = F·s = 140 N × 15 m = 2100 J.
71st BPSC (2025),127,core,"U2 Light I: Nature of Light, Reflection & Mirrors",yes,The focal distance of a plane mirror is,#ERROR! | -1 cm | 2 cm | Infinity,,,Infinity,added-answer,No key in workbook (option A is garbled in the source). Plane mirror: R = ∞ ⇒ f = R/2 = ∞; power zero.
71st BPSC (2025),128,core,"U14 Electrical Power, Devices & Domestic Electricity",yes,Which term in the following does not denote the electric power in electric circuit?,I²R | IR² | VI | V²/R,,,IR²,added-answer,No key in workbook. P = VI = I²R = V²/R; IR² is not a power expression.
71st BPSC (2025),129,core,"U14 Electrical Power, Devices & Domestic Electricity",yes,"In short circuit, the value of electric current in a time circuit:",Very low | Do not change | Increases very high | Continuously changing,,,Increases very high,added-answer,No key in workbook. Short circuit ⇒ resistance ≈ 0 ⇒ I = V/R becomes very large (fuse melts).
71st BPSC (2025),130,core,"U14 Electrical Power, Devices & Domestic Electricity",yes,What is the device to protect equipments from the electric shock?,Fuse | Generator | Motor | Current controller,,,Fuse,added-answer,"No key in workbook. Among the options the fuse is the protective device (strictly, earthing protects people from shock; the fuse protects equipment from over-current)."
