qid,year,subject,auto_tier,auto_best,expert_tier,expert_link,link_src,advantage,transform,weight,text_snippet
2015_P_22,2015,Economy,3,2013_P_39,3,2011_P_87,expert,elimination,same-fact-new-frame,7.05,"When the Reserve Bank of India reduces the Statutory Liquidity Ratio by 50 basis points, which of the following is likely to happen?"
2015_P_23,2015,Science & Technology,3,2012_P_64,,2012_P_64,auto,,,0.00,"With reference to the use of nano-technology in health sector, which of the following statements is/are correct? 1. Targeted drug delivery is made pos"
2015_P_24,2015,Economy,0,,0,,expert,none,spurious,3.86,"In India, markets in agricultural products are regulated under the"
2015_P_25,2015,Environment,3,2013_P_84,,2013_P_84,auto,,,0.00,Which one of the following is the national aquatic animal of India?
2015_P_26,2015,History,3,1998_P_43,,1998_P_43,auto,,,0.00,"With reference to Congress Socialist Party, consider the following statements: 1. It advocated the boycott of British goods and evasion of taxes. 2. I"
2015_P_27,2015,Polity,4,2013_P_1,4,2013_P_1,auto,answerability,entity-bridge,1.00,Consider the following statements: 1. The Rajya Sabha has no power either to reject or to amend a Money Bill. 2. The Rajya Sabha cannot vote on the De
2015_P_28,2015,History,3,2008_P_83,,2008_P_83,auto,,,0.00,The Government of India Act of 1919 clearly defined
2015_P_29,2015,Economy,4,2010_P_85,3,2010_P_85,expert,conceptual,entity-bridge,1.00,Which of the following brings out the 'Consumer Price Index Number for Industrial Workers?
2015_P_3,2015,Polity,1,2011_P_48,,2011_P_48,auto,,,0.00,"The 'Fortaleza Declaration', recently in the news, is related to the affairs of"
2015_P_30,2015,Science & Technology,3,2010_P_36,,2010_P_36,auto,,,0.00,"In the context of modern scientific research, consider the following statements about 'IceCube', a particle detector located at South Pole, which was "
2015_P_31,2015,Economy,3,2002_P_21,,2002_P_21,auto,,,0.00,"The terms 'Agreement on Agriculture', 'Agreement on the Application of Sanitary and Phytosanitary Measures' and 'Peace Clause' appear in the news freq"
2015_P_32,2015,Science & Technology,1,2004_P_93,,2004_P_93,auto,,,0.00,"With reference to 'Near Field Communication (NFC) Technology', which of the following statements is/are correct? 1. It is a contactless communication "
2015_P_33,2015,Geography,3,2001_P_94,0,,expert,none,spurious,7.05,The area known as 'Golan Heights' sometimes appears in the news in the context of the events related to
2015_P_34,2015,Economy,4,1998_P_83,3,1998_P_83,expert,conceptual,paraphrase-repeat,1.00,Convertibility of rupee implies
2015_P_35,2015,History,0,,,,auto,,,0.00,Consider the following pairs: Medieval Indian State Present Region 1. Champaka : Central India 2. Durgara : Jammu 3. Kuluta : Malabar Which of the abo
2015_P_36,2015,Geography,3,2003_P_78,,2003_P_78,auto,,,0.00,Consider the following rivers: 1. Vamsadhara 2. Indravati 3. Pranahita 4. Pennar Which of the above are tributaries of Godavari?
2015_P_37,2015,Polity,4,2003_P_88,3,2003_P_88,expert,conceptual,entity-bridge,1.00,"When a bill is referred to a joint sitting of both the Houses of the Parliament, it has to be passed by"
2015_P_38,2015,Geography,3,1995_P_26,,1995_P_26,auto,,,0.00,"Which one of the following regions of India has a combination of mangrove forest, evergreen forest and deciduous forest?"
2015_P_39,2015,History,5,2014_P_25,5,2014_P_25,auto,answerability,verbatim-repeat,1.00,Which of the following kingdoms were associated with the life of the Buddha? 1. Avanti 2. Gandhara 3. Kosala 4. Magadha Select the correct answer usin
2015_P_4,2015,Economy,3,2000_P_85,,2000_P_85,auto,,,0.00,A decrease in tax to GDP ratio of a country indicates which of the following? 1. Slowing economic growth rate 2. Less equitable distribution of nation
2015_P_40,2015,Environment,0,,,,auto,,,0.00,Which one of the following is associated with the issue of control and phasing out of the use of ozone-depleting substances?
2015_P_41,2015,History,3,2013_P_49,,2013_P_49,auto,,,0.00,Consider the following: The arrival of Babur into India led to the 1. introduction of gunpowder in the subcontinent 2. introduction of the arch and do
2015_P_42,2015,Polity,2,2004_P_48,0,,expert,none,spurious,1.00,The Government of India has established NITI Aayog to replace the
2015_P_43,2015,Environment,2,2005_P_45,1,2005_P_45,expert,pattern,weak-association,1.00,"What is Rio+20 Conference, often mentioned in the news?"
2015_P_44,2015,Polity,3,1996_P_66,,1996_P_66,auto,,,0.00,Consider the following statements : 1. The Executive Power of the Union of India is vested in the Prime Minister. 2. The Prime Minister is the ex offi
2015_P_45,2015,Science & Technology,3,2001_P_75,,2001_P_75,auto,,,0.00,The term 'Goldilocks Zone' is often seen in the news in the context of
2015_P_46,2015,History,0,,,,auto,,,0.00,Who of the following organized a march on the Tanjore coast to break the Salt Law in April 1930?
2015_P_47,2015,History,3,1999_P_77,,1999_P_77,auto,,,0.00,Who of the following founded a new city on the south bank of a tributary to river Krishna and undertook to rule his new kingdom as the agent of a deit
2015_P_48,2015,History,4,2000_P_17,4,2000_P_17,auto,answerability,entity-bridge,1.00,Consider the following statements: 1. The first woman President of the Indian National Congress was Sarojini Naidu. 2. The first Muslim President of t
2015_P_49,2015,Environment,3,2010_P_55,,2010_P_55,auto,,,0.00,Which of the following statements regarding 'Green Climate Fund' is/are correct? 1. It is intended to assist the developing countries in adaptation an
2015_P_5,2015,Geography,3,1997_P_1,,1997_P_1,auto,,,0.00,"In the South Atlantic and South-Eastern Pacific regions in tropical latitudes, cyclone does not originate. What is the reason?"
2015_P_50,2015,Polity,1,2003_P_54,,2003_P_54,auto,,,0.00,"Indira Gandhi Prize for Peace, Disarma-ment and Development for 2014 was given to which one of the following?"
2015_P_51,2015,History,3,1999_P_73,,1999_P_73,auto,,,0.00,"With reference to the Cabinet Mission, which of the following statements is/are correct? 1. It recommended a federal government. 2. It enlarged the po"
2015_P_52,2015,Environment,4,2013_P_11,2,2013_P_11,expert,elimination,same-fact-new-frame,1.00,"Which one of the following National Parks has a climate that varies from tropical to subtropical, temperate and arctic?"
2015_P_53,2015,Polity,1,2008_P_92,,2008_P_92,auto,,,0.00,Amnesty International is
2015_P_54,2015,Art & Culture,2,2001_P_5,1,2001_P_5,expert,pattern,weak-association,1.00,"With reference to the art and archaeo-logical history of India, which one among the following was made earliest?"
2015_P_55,2015,History,1,2011_P_52,,2011_P_52,auto,,,0.00,"With reference to Indian history, which of the following is/are the essential element/elements of the feudal system? 1. A very strong centralized poli"
2015_P_56,2015,Economy,1,2011_P_74,,2011_P_74,auto,,,0.00,'BioCarbon Fund Initiative for Sustain-able Forest Landscapes' is managed by the
2015_P_57,2015,Polity,2,2009_P_47,4,2008_P_61,expert,answerability,paraphrase-repeat,1.00,India is a member of which among the following? 1. Asia-Pacific Economic Cooperation 2. Association of South-East Asian Nations 3. East Asia Summit Se
2015_P_58,2015,Economy,3,2012_P_84,,2012_P_84,expert,,,0.00,"In India, the steel production industry requires the import of"
2015_P_59,2015,Polity,4,2012_P_40,3,2012_P_40,expert,conceptual,entity-bridge,1.00,The provisions in Fifth Schedule and Sixth Schedule in the Constitution of India are made in order to
2015_P_6,2015,Geography,0,,,,auto,,,0.00,Which one of the following pairs of States of India indicates the easternmost and westernmost State?
2015_P_60,2015,Polity,4,2004_P_1,4,2010_P_76,expert,answerability,entity-bridge,1.00,"With reference to the Union Government, consider the following statements: 1. The Department of Revenue is responsible for the preparation of Union Bu"
2015_P_61,2015,Polity,3,2014_P_58,,2014_P_58,auto,,,0.00,Who/Which of the following is the custodian of the Constitution of India?
2015_P_62,2015,Economy,3,2014_P_4,,2014_P_4,auto,,,0.00,Consider the following statements : 1. The Accelerated Irrigation Benefits Programme was launched during 1996-97 to provide loan assistance to poor fa
2015_P_63,2015,Environment,2,2003_P_19,3,2003_P_19,expert,conceptual,mechanism-transfer,1.00,The Genetic Engineering Appraisal Committee is constituted under the
2015_P_64,2015,Polity,4,2001_P_21,3,2004_P_20,expert,elimination,entity-bridge,1.00,"In the Mekong-Ganga Cooperation, an initiative of six countries, which of the following is/are not a participant/participants? 1. Bangladesh 2. Cambod"
2015_P_65,2015,Economy,2,2014_P_6,0,,expert,none,spurious,1.00,"'Basel III Accord' or simply 'Basel III', often seen in the news, seeks to"
2015_P_66,2015,Geography,3,1997_P_3,,1997_P_3,auto,,,0.00,Consider the following statements: 1. The winds which blow between 30° N and 60° S latitudes through-out the year are known as westerlies. 2. The mois
2015_P_67,2015,Polity,3,2010_P_56,,2010_P_56,auto,,,0.00,"With reference to Indian Ocean Rim Association for Regional Cooperation (IOR-ARC)', consider the following statements: 1. It was established very rece"
2015_P_68,2015,History,4,1998_P_25,3,1998_P_25,expert,conceptual,entity-bridge,1.00,Which one of the following movements has contributed to a split in the Indian National Congress resulting in the emergence of 'moderates' and 'extremi
2015_P_69,2015,Geography,3,2012_P_43,,2012_P_43,auto,,,0.00,"In a particular region in India, the local people train the roots of living trees into robust bridges across the streams. As the time passes, these br"
2015_P_7,2015,Polity,4,2002_P_43,4,2002_P_43,auto,answerability,entity-bridge,1.00,Consider the following statements regarding the Directive Principles of State Policy: 1. The Principles spell out the socio-economic democracy in the 
2015_P_70,2015,Geography,3,1998_P_47,0,,expert,none,spurious,7.05,Tides occur in the oceans and seas due to which among the following? 1. Gravitational force of the Sun 2. Gravitational force of the Moon 3. Centrifug
2015_P_71,2015,Environment,3,2011_P_2,,2011_P_2,auto,,,0.00,In which of the following activities are Indian Remote Sensing (IRS) satellites used? 1. Assessment of crop productivity 2. Locating groundwater resou
2015_P_72,2015,Geography,1,2013_P_70,1,2013_P_70,expert,pattern,weak-association,5.40,Consider the following States: 1. Arunachal Pradesh 2. Himachal Pradesh 3. Mizoram In which of the above States do 'Tropical Wet Evergreen Forests' oc
2015_P_73,2015,Science & Technology,0,,,,auto,,,0.00,"The term 'IndARC', sometimes seen in the news, is the name of"
2015_P_74,2015,Environment,1,2014_P_6,1,2014_P_6,expert,pattern,weak-association,5.40,"With reference to 'Forest Carbon Partnership Facility', which of the following statements is/are correct? 1. It is a global partnership of governments"
2015_P_75,2015,Art & Culture,4,2014_P_8,3,2014_P_8,expert,conceptual,entity-bridge,1.00,Which one of the following was given classical language status recently?
2015_P_76,2015,Environment,3,2011_P_78,,2011_P_78,auto,,,0.00,"With reference to an organization known as 'BirdLife International', which of the following statements is/are correct? 1. It is a Global Partnership o"
2015_P_77,2015,Geography,3,2014_P_51,,2014_P_51,auto,,,0.00,Which one of the following countries of South-West Asia does not open out to the Mediterranean Sea?
2015_P_78,2015,Geography,5,2010_P_68,2,2010_P_68,expert,elimination,mechanism-transfer,1.00,"In India, in which one of the following types of forests is teak a dominant tree species?"
2015_P_79,2015,Polity,2,2009_P_47,1,2009_P_47,expert,pattern,weak-association,1.00,"'Beijing Declaration and Platform for Action', often seen in the news, is"
2015_P_8,2015,Economy,2,2003_P_36,2,2003_P_36,expert,elimination,mechanism-transfer,1.00,"In the 'Index of Eight Core Industries', which one of the following is given the highest weight?"
2015_P_80,2015,Geography,1,2013_P_69,,2013_P_69,auto,,,0.00,"""Each day is more or less the same, the morning is clear and bright with a sea breeze; as the Sun climbs high in the sky, heat mounts up, dark clouds "
2015_P_81,2015,Economy,4,2002_P_36,3,2002_P_36,expert,conceptual,entity-bridge,1.00,"With reference to Indian economy, consider the following statements : 1. The rate of growth of Real Gross Domestic Product has steadily increased in t"
2015_P_82,2015,Polity,4,2001_P_49,1,2001_P_49,expert,pattern,weak-association,1.00,Consider the following statements: 1. The Legislative Council of a State in India can be larger in size than half of the Legislative Assembly of that 
2015_P_83,2015,Polity,2,2013_P_25,2,2013_P_25,expert,elimination,mechanism-transfer,1.00,"""To uphold and protect the Sovereignty, Unity and Integrity of India"" is a provision made in the"
2015_P_84,2015,Environment,3,2013_P_50,,2013_P_50,auto,,,0.00,Which one of the following is the best description of the term 'ecosystem?
2015_P_85,2015,Polity,3,1999_P_6,,1999_P_6,auto,,,0.00,The fundamental object of Panchayati Raj system is to ensure which among the following? 1. People's participation in development 2. Political accounta
2015_P_86,2015,Economy,4,2013_P_72,4,2013_P_72,auto,answerability,entity-bridge,1.00,"With reference to Indian economy, consider the following: 1. Bank rate 2. Open market operations 3. Public debt 4. Public revenue Which of the above i"
2015_P_87,2015,Economy,0,,,,auto,,,0.00,"With reference to inflation in India, which of the following statements is correct?"
2015_P_88,2015,Polity,3,2011_P_48,,2011_P_48,auto,,,0.00,Consider the following countries: 1. China 2. France 3. India 4. Israel 5. Pakistan Which among the above are Nuclear Weapons States as recognized by 
2015_P_89,2015,Polity,2,2013_P_25,4,2013_P_25,expert,answerability,mechanism-transfer,1.00,The ideal of 'Welfare State' in the Indian Constitution is enshrined in its
2015_P_9,2015,Environment,3,2014_P_46,1,2014_P_46,expert,pattern,weak-association,7.05,Which of the following National Parks is unique in being a swamp with floating vegetation that supports a rich biodiversity?
2015_P_90,2015,Economy,3,1998_P_94,,1998_P_94,auto,,,0.00,The substitution of steel for wooden ploughs in agricultural production is an example of
2015_P_91,2015,Polity,3,2012_P_30,,2012_P_30,auto,,,0.00,There is a Parliamentary System of Government in India because the
2015_P_92,2015,Science & Technology,3,2007_P_89,,2007_P_89,auto,,,0.00,H1N1 virus is sometimes mentioned in the news with reference to which one of the following diseases?
2015_P_93,2015,Science & Technology,3,1999_P_49,,1999_P_49,auto,,,0.00,"With reference to bio-toilets used by the Indian Railways, consider the following statements: 1. The decomposition of human waste in the bio-toilets i"
2015_P_94,2015,Economy,0,,,,auto,,,0.00,The problem of international liquidity is related to the non-availability of
2015_P_95,2015,Science & Technology,3,2010_P_35,,2010_P_35,auto,,,0.00,"With reference to 'fuel cells' in which hydrogen-rich fuel and oxygen are used to generate electricity, consider the following statements: 1. If pure "
2015_P_96,2015,Art & Culture,3,2011_P_91,,2011_P_91,auto,,,0.00,Kalamkari painting refers to
2015_P_97,2015,Economy,0,,,,auto,,,0.00,Which one of the following best describes the main objective of 'Seed Village. Concept?
2015_P_98,2015,Economy,3,1996_P_20,,1996_P_20,auto,,,0.00,There has been a persistent deficit budget year after year. Which of the following actions can be taken by the government to reduce the deficit? 1. Re
2015_P_99,2015,Economy,0,,,,auto,,,0.00,Which of the following has/have been accorded 'Geographical Indication' status? 1. Banaras Brocades and Sarees 2. Rajasthani Daal-Bati-Churma 3. Tirup
2016_P_1,2016,Polity,3,2012_P_57,,2012_P_57,auto,,,0.00,"Which of the following statements is/are correct? 1. A Bill pending in the Lok Sabha lapses on its prorogation. 2. A Bill pending in the Rajya Sabha, "
2016_P_10,2016,History,3,2009_P_8,,2009_P_8,auto,,,0.00,Which one of the following books of ancient India has the love story of the son of the founder of Sunga dynasty?
2016_P_100,2016,Polity,3,1999_P_6,,1999_P_6,auto,,,0.00,Consider the following statements: 1. The minimum age prescribed for any person to be a member of Panchayat is 25 years. 2. A Panchayat reconstituted 
2016_P_11,2016,Economy,3,2015_P_31,,2015_P_31,auto,,,0.00,"In the context of which of the following do you sometimes find the terms 'amber box, blue box and green box' in the news?"
2016_P_12,2016,Economy,3,2008_P_26,,2008_P_26,auto,,,0.00,"Which of the following is/are included in the capital budget of the Government of India? 1. Expenditure on acquisition of assets like roads, buildings"
2016_P_13,2016,Polity,3,2005_P_6,,2005_P_6,auto,,,0.00,What is/are the importance/importances of the United Nations Convention to Combat Desertification? 1. It aims to promote effective action through inno
2016_P_14,2016,Economy,1,2001_P_52,,2001_P_52,auto,,,0.00,"Recently, which one of the following currencies has been proposed to be added to the basket of IMF's SDR?"
2016_P_15,2016,Economy,1,2004_P_44,,2004_P_44,auto,,,0.00,"With reference to the International Monetary and Financial Committee (IMFC), consider the following statements: 1. IMFC discusses matters of concern a"
2016_P_16,2016,Polity,0,,,,auto,,,0.00,'Rashtriya Garima Abhiyaan' is a national campaign to
2016_P_17,2016,History,3,2012_P_69,,2012_P_69,auto,,,0.00,"With reference to the cultural history of medieval India, consider the following statements: 1. Siddhas (Sittars) of Tamil region were monotheistic an"
2016_P_18,2016,Economy,3,2003_P_96,,2003_P_96,auto,,,0.00,"Which of the following best describes the term 'import cover', sometimes seen in the news?"
2016_P_19,2016,Polity,0,,1,2014_P_36,expert,pattern,expert-verified-weak,3.86,Consider the following pairs: Community sometimes mentioned in the news : In the affairs of 1. Kurd : Bangladesh 2. Madhesi : Nepal 3. Rohingya : Myan
2016_P_2,2016,Economy,3,2013_P_75,,2013_P_75,auto,,,0.00,Which of the following is/are the indicator/indicators used by IFPRI to compute the Global Hunger Index Report? 1. Undernourishment 2. Child stunting 
2016_P_20,2016,Polity,3,2008_P_100,,2008_P_100,auto,,,0.00,"With reference to 'Organization for the Prohibition of Chemical Weapons (OPCW)', consider the following statements: 1. It is an organization of Europe"
2016_P_21,2016,Economy,1,2015_P_1,1,2015_P_1,expert,pattern,weak-association,5.40,"With reference to 'Pradhan Mantri Fasal Bima Yojana', consider the following statements: 1. Under this scheme, farmers will have to pay a uniform prem"
2016_P_22,2016,Environment,4,1999_P_48,2,1999_P_48,expert,elimination,mechanism-transfer,1.00,In which of the following regions of India are you most likely to come across the 'Great Indian Hornbill' in its natural habitat?
2016_P_23,2016,Polity,3,2013_P_95,,2013_P_95,auto,,,0.00,Which of the following are the key features of 'National Ganga River Basin Authority (NGRBA)? 1. River basin is the unit of planning and management. 2
2016_P_24,2016,Economy,4,2013_P_31,2,2013_P_31,expert,elimination,entity-bridge,1.00,Why does the Government of India promote the use of 'Neem-coated Urea' in agriculture?
2016_P_25,2016,Polity,3,2004_P_7,,2004_P_7,auto,,,0.00,Consider the following statements: 1. The Chief Secretary in a State is appointed by the Governor of that State. 2. The Chief Secretary in a State has
2016_P_26,2016,Economy,1,2011_P_34,1,2011_P_34,expert,pattern,weak-association,5.40,"With reference to 'Stand Up India Scheme', which of the following statements is/are correct? 1. Its purpose is to promote entrepreneurship among SC/ST"
2016_P_27,2016,Environment,1,2014_P_78,,2014_P_78,auto,,,0.00,The FAO accords the status of 'Globally Important Agricultural Heritage System (GIAHS)' to traditional agricultural systems. What is the overall goal 
2016_P_28,2016,Geography,3,2008_P_23,,2008_P_23,auto,,,0.00,Which of the following is/are tributary/tributaries of Brahmaputra? 1. Dibang 2. Kameng 3. Lohit Select the correct answer using the code given below.
2016_P_29,2016,Economy,3,2012_P_80,,2012_P_80,auto,,,0.00,The term 'Core Banking Solutions' is sometimes seen in the news. Which of the following statements best describes/describe this term? 1. It is a netwo
2016_P_3,2016,Economy,5,2015_P_98,5,2015_P_98,auto,answerability,verbatim-repeat,1.00,There has been a persistent deficit budget year after year. Which action/actions of the following can-be-taken by the Government to reduce the deficit
2016_P_30,2016,Environment,5,2008_P_95,4,2008_P_95,expert,answerability,entity-bridge,1.00,Consider the following pairs: Terms sometimes seen in the news : Their origin 1. Annex-I Countries : Cartagena Protocol 2. Certified Emissions Reducti
2016_P_31,2016,Science & Technology,3,2013_P_5,2,2013_P_5,expert,elimination,mechanism-transfer,7.05,"In the context of the developments in Bioinformatics, the term 'transcriptome', sometimes seen in the news, refers to"
2016_P_32,2016,Polity,3,1997_P_43,,1997_P_43,auto,,,0.00,'Mission Indradhanush' launched by the Government of India pertains to
2016_P_33,2016,Environment,3,2008_P_40,1,2012_P_43,expert,pattern,weak-association,7.05,Which of the following best describes/describe the aim of 'Green India Mission' of the Government of India? 1. Incorporating environmental benefits an
2016_P_34,2016,Polity,1,2010_P_47,,2010_P_47,auto,,,0.00,"With reference to pre-packaged items in India, it is mandatory to the manufacturer to put which of the following information on the main label, as per"
2016_P_35,2016,Science & Technology,0,,,,auto,,,0.00,"'Project Loon', sometimes seen in the news, is related to"
2016_P_36,2016,Economy,3,1999_P_98,,1999_P_98,auto,,,0.00,'Net metering' is sometimes seen in the news in the context of promoting the
2016_P_37,2016,Economy,1,2014_P_99,,2014_P_99,auto,,,0.00,India's ranking in the 'Ease of Doing Business Index' is sometimes seen in the news. Which of the following has declared that ranking?
2016_P_38,2016,History,0,,,,auto,,,0.00,Banjaras during the medieval period of Indian history were generally
2016_P_39,2016,History,3,2000_P_83,,2000_P_83,auto,,,0.00,Who of the following had first deciphered the edicts of Emperor Ashoka?
2016_P_4,2016,Economy,3,2015_P_1,,2015_P_1,auto,,,0.00,The establishment of 'Payment Banks' is being allowed in India to promote financial inclusion. Which of the following statements is/are correct in thi
2016_P_40,2016,Polity,3,2012_P_4,1,2012_P_4,expert,pattern,weak-association,7.05,"With reference to the 'Gram Nyayalaya Act', which of the following statements is/are correct? 1. As per the Act, Gram Nyayalayas can hear only civil c"
2016_P_41,2016,Polity,1,2008_P_33,,2008_P_33,auto,,,0.00,"With reference to the 'Trans-Pacific Partnership', consider the following statements: 1. It is an agreement among all the Pacific Rim countries except"
2016_P_42,2016,Polity,3,2014_P_11,,2014_P_11,auto,,,0.00,Consider the following statements: The India-Africa Summit 1. held in 2015 was the third such Summit 2. was actually initiated by Jawaharlal Nehru in 
2016_P_43,2016,Economy,1,2014_P_33,,2014_P_33,auto,,,0.00,What is/are the purpose/purposes of the 'Marginal Cost of Funds based Lending Rate (MCLR)' announced by RBI? 1. These guidelines help improve the tran
2016_P_44,2016,Environment,3,2011_P_75,2,2011_P_75,expert,elimination,entity-bridge,7.05,"What is/are unique about 'Kharai camel', a breed found in India? 1. It is capable of swimming up to three kilometres in seawater. 2. It survives by gr"
2016_P_45,2016,Geography,0,,,,auto,,,0.00,"Recently, our scientists have discovered a new and distinct species of banana plant which attains a height of about 11 metres and has orange-coloured "
2016_P_46,2016,Science & Technology,0,,,,auto,,,0.00,"Which one of the following is the best description of 'INS Astradharini', that was in the news recently?"
2016_P_47,2016,Science & Technology,0,,,,auto,,,0.00,"What is 'Greased Lightning-10 (GL-10)', recently in the news?"
2016_P_48,2016,Economy,3,1997_P_36,,1997_P_36,auto,,,0.00,"With reference to 'Initiative for Nutritional Security through Intensive Millets Promotion', which of the following statements is/are correct? 1. This"
2016_P_49,2016,History,4,2010_P_82,5,2010_P_82,expert,answerability,mechanism-transfer,1.00,The 'Swadeshi' and 'Boycott' were adopted as methods of struggle for the first time during the
2016_P_5,2016,Science & Technology,3,2011_P_56,,2011_P_56,auto,,,0.00,"With reference to 'LiFi', recently in the news, which of the following statements is/are correct? 1. It uses light as the medium for high-speed data t"
2016_P_50,2016,Art & Culture,3,1997_P_77,,1997_P_77,auto,,,0.00,"With reference to the religious history of India, consider the following statements: 1. The concept of Bodhisattva is central to Hinayana sect of Budd"
2016_P_51,2016,Polity,1,2015_P_43,1,2015_P_43,expert,pattern,weak-association,5.40,"'Doctors Without Borders (Medecins Sans Frontieres)', often in the news, is"
2016_P_52,2016,Environment,1,2014_P_78,,2014_P_78,auto,,,0.00,"With reference to an initiative called 'The Economics of Ecosystems and Biodiversity (TEEB)', which of the following statements is/are correct? 1. It "
2016_P_53,2016,Geography,1,2015_P_78,1,2015_P_78,expert,pattern,weak-association,5.40,"With reference to 'Red Sanders', sometimes seen in the news, consider the following statements: 1. It is a tree species found in a part of South India"
2016_P_54,2016,Environment,3,1996_P_47,,1996_P_47,auto,,,0.00,Which of the following statements is/are correct? Proper design and effective implementation of UN-REDD+ Programme can significantly contribute to 1. 
2016_P_55,2016,Environment,2,2011_P_14,2,2011_P_14,expert,elimination,mechanism-transfer,1.00,What is 'Greenhouse Gas Protocol?
2016_P_56,2016,Economy,3,2013_P_66,,2013_P_66,auto,,,0.00,"With reference to 'Financial Stability and Development Council', consider the following statements: 1. It is an organ of NITI Aayog. 2. It is headed b"
2016_P_57,2016,Geography,1,2008_P_94,,2008_P_94,expert,,,0.00,"With reference to 'Agenda 21', sometimes seen in the news, consider the following statements: 1. It is a global action plan for sustainable developmen"
2016_P_58,2016,History,0,,0,,expert,none,spurious,3.86,Satya Shodhak Samaj organized
2016_P_59,2016,Science & Technology,1,2012_P_11,,2012_P_11,auto,,,0.00,Which of the following statements is/are correct? Viruses can infect 1. bacteria 2. fungi 3. plants Select the correct answer using the code given bel
2016_P_6,2016,Environment,3,2011_P_14,,2011_P_14,auto,,,0.00,The term 'Intended Nationally Determined Contributions' is sometimes seen in the news in the context of
2016_P_60,2016,Economy,3,2001_P_8,,2001_P_8,auto,,,0.00,The term 'Base Erosion and Profit Shifting' is sometimes seen in the news in the context of
2016_P_61,2016,Economy,1,2012_P_34,,2012_P_34,auto,,,0.00,"Recently, India's first 'National Investment and Manufacturing Zone' was proposed to be set up in"
2016_P_62,2016,Polity,1,2012_P_1,2,2012_P_1,expert,conceptual,unclassified-weak,5.40,What is/are the purpose/purposes of 'District Mineral Foundations' in India? 1. Promoting mineral exploration activities in mineral-rich districts 2. 
2016_P_63,2016,Science & Technology,0,,0,,expert,none,spurious,3.86,"'SWAYAM', an initiative of the Government of India, aims at"
2016_P_64,2016,History,4,2004_P_29,5,2004_P_29,expert,answerability,entity-bridge,1.00,The Montague-Chelmsford Proposals were related to
2016_P_65,2016,Art & Culture,3,2013_P_54,,2013_P_54,auto,,,0.00,What is/are common to the two historical places known as Ajanta and Mahabalipuram? 1. Both were built in the same period. 2. Both belong to the same r
2016_P_66,2016,Economy,1,1996_P_20,,1996_P_20,auto,,,0.00,"With reference to 'Bitcoins', sometimes seen in the news, which of the following statements is/are correct? 1. Bitcoins are tracked by the Central Ban"
2016_P_67,2016,Polity,1,2015_P_79,,2015_P_79,auto,,,0.00,Consider the following statements: 1. New Development Bank has been set up by APEC. 2. The headquarters of New Development Bank is in Shanghai. Which 
